amplitude,phase,timestamp,validflag,ttlin,mark,ttlout
0.10787391165982034,3.041541932137888,268570,0,0,,0
0.09147541597054652,3.0815622207186495,268610,0,0,,0
0.07744400264215537,3.121582509299411,268650,0,0,,0
0.06594960578560252,3.161602797880173,268690,0,0,,0
0.05703287283952845,3.2016230864609345,268730,0,0,,0
0.05060935406141137,3.241643375041696,268770,0,0,,0
0.046480360840524475,3.281663663622458,268810,0,0,,0
0.04434970495667937,3.3216839522032195,268850,0,0,,0
0.043845206689694785,3.3617042407839812,268890,0,0,,0
0.04454360618702975,3.401724529364743,268930,0,0,,0
0.045997343745216274,3.4417448179455046,268970,0,0,,0
0.047761599479785685,3.4817651065262663,269010,0,0,,0
0.04942000439922317,3.521785395107028,269050,0,0,,0
0.05060755050478976,3.5618056836877896,269090,0,0,,0
0.051029428960792725,3.6018259722685513,269130,0,0,,0
0.05047479932441183,3.641846260849313,269170,0,0,,0
0.048824821794484254,3.6818665494300746,269210,0,0,,0
0.04605464782662369,3.7218868380108363,269250,0,0,,0
0.04222943981475016,3.761907126591598,269290,0,0,,0
0.037494854927044755,3.8019274151723597,269330,0,0,,0
0.03206275958812589,3.8419477037531213,269370,0,0,,0
0.0261932197314015,3.881967992333883,269410,0,0,,0
0.020174021428585244,3.9219882809146447,269450,0,0,,0
0.014299104834112657,3.9620085694954064,269490,0,0,,0
0.008847334625914891,4.0020288580761685,269530,0,0,,0
0.004062980797823127,4.042049146656931,269570,0,0,,0
0.00013914878327225648,4.082069435237693,269610,0,0,,0
-0.002794813293104533,4.122089723818455,269650,0,0,,0
-0.004681176063142526,4.162110012399217,269690,0,0,,0
-0.00553652333597144,4.202130300979979,269730,0,0,,0
-0.005449186764423446,4.242150589560741,269770,0,0,,0
-0.004571673908540894,4.282170878141503,269810,0,0,,0
-0.0031086698696807264,4.322191166722265,269850,0,0,,0
-0.001301480361994952,4.362211455303028,269890,0,0,,0
0.0005899855016321606,4.40223174388379,269930,0,0,,0
0.002306435647451713,4.442252032464552,269970,0,0,,0
0.0036082843409929698,4.482272321045314,270010,0,0,,0
0.004293284951857932,4.522292609626076,270050,0,0,,0
0.004211475424874699,4.562312898206838,270090,0,0,,0
0.0032763800992368555,4.6023331867876,270130,0,0,,0
0.0014716548011085642,4.642353475368362,270170,0,0,,0
-0.0011473408688470414,4.6823737639491245,270210,0,0,,0
-0.004457227962404418,4.722394052529887,270250,0,0,,0
-0.00827538666511322,4.762414341110649,270290,0,0,,0
-0.012373326939168611,4.802434629691411,270330,0,0,,0
-0.016493838909873604,4.842454918272173,270370,0,0,,0
-0.02037084845599623,4.882475206852935,270410,0,0,,0
-0.02375070655555342,4.922495495433697,270450,0,0,,0
-0.026413522128539722,4.962515784014459,270490,0,0,,0
-0.02819311556588756,5.0025360725952215,270530,0,0,,0
-0.028994226752843445,5.042556361175984,270570,0,0,,0
-0.028805754649388664,5.082576649756746,270610,0,0,,0
-0.027709027521077838,5.122596938337508,270650,0,0,,0
-0.02588039098491674,5.16261722691827,270690,0,0,,0
-0.023587738277134652,5.202637515499032,270730,0,0,,0
-0.021180973554613267,5.242657804079794,270770,0,0,,0
-0.019076772650250227,5.282678092660556,270810,0,0,,0
-0.017738363915574422,5.322698381241318,270850,0,0,,0
-0.017651372717759104,5.362718669822081,270890,0,0,,0
-0.019297036963668364,5.402738958402843,270930,0,0,,0
-0.023124291090442377,5.442759246983605,270970,0,0,,0
-0.02952231993596571,5.482779535564367,271010,0,0,,0
-0.03879519445340824,5.522799824145129,271050,0,0,,0
-0.051140116529728566,5.562820112725891,271090,0,0,,0
-0.0666306240231947,5.602840401306653,271130,0,0,,0
-0.08520584882528393,5.642860689887415,271170,0,0,,0
-0.1066665945038666,5.6828809784681775,271210,0,0,,0
-0.13067862426714957,5.72290126704894,271250,0,0,,0
-0.156783146058636,5.762921555629702,271290,0,0,,0
-0.18441407285241493,5.802941844210464,271330,0,0,,0
-0.21292124644837737,5.842962132791226,271370,0,0,,0
-0.24159846513847322,5.882982421371988,271410,0,0,,0
-0.26971487013545314,5.92300270995275,271450,0,0,,0
-0.2965480397462453,5.963022998533512,271490,0,0,,0
-0.3214170265435784,6.0030432871142745,271530,0,0,,0
-0.3437135585752048,6.043063575695037,271570,0,0,,0
-0.3629297125465025,6.083083864275799,271610,0,0,,0
-0.3786805506521787,6.123104152856561,271649,0,0,,0
-0.39072048340144516,6.163124441437323,271690,0,0,,0
-0.3989524633631436,6.203144730018085,271730,0,0,,0
-0.40342950998479604,6.243165018598847,271770,0,0,,0
-0.40434849109134613,0.0,271809,0,0,Z,0
-0.40203651805981716,0.08159980918415047,271850,0,0,,0
-0.3969307242479635,0.16319961836830094,271890,0,0,,0
-0.38955256625494494,0.2447994275524514,271930,0,0,,0
-0.38047809359577245,0.32639923673660187,271970,0,0,,0
-0.3703058565765609,0.4079990459207523,272010,0,0,,0
-0.3596242514226051,0.48959885510490275,272050,0,0,,0
-0.3489801283355343,0.5711986642890532,272090,0,0,,0
-0.33885041034824986,0.6527984734732036,272129,0,0,,0
-0.32961829285156624,0.7343982826573541,272170,0,0,,0
-0.3215553255407786,0.8159980918415045,272210,0,0,,0
-0.3148103355795903,0.897597901025655,272250,0,0,,0
-0.30940575268929293,0.9791977102098054,272289,0,0,,0
-0.3052414665831682,1.0607975193939558,272330,0,0,,0
-0.3021059095549116,1.1423973285781064,272370,0,0,,0
-0.29969363746905187,1.223997137762257,272409,0,0,,0
-0.29762830529263445,1.3055969469464075,272450,0,0,,0
-0.29548962066159606,1.387196756130558,272489,0,0,,0
-0.2928426291263574,1.4687965653147086,272529,0,0,,0
-0.289267551249531,1.5503963744988591,272569,0,0,,0
-0.2843883626553288,1.6319961836830097,272610,0,0,,0
-0.2778983854307931,1.7135959928671602,272649,0,0,,0
-0.26958133874558343,1.7951958020513108,272690,0,0,,0
-0.2593265680184911,1.8767956112354613,272729,0,0,,0
-0.24713751984653856,1.958395420419612,272769,0,0,,0
-0.23313293414137384,2.0399952296037624,272810,0,0,,0
-0.21754066203186329,2.121595038787913,272849,0,0,,0
-0.20068446261035244,2.2031948479720636,272890,0,0,,0
-0.18296455748517038,2.284794657156214,272930,0,0,,0
-0.1648331042657663,2.3663944663403647,272970,0,0,,0
-0.14676606587008034,2.447994275524515,273009,0,0,,0
-0.12923318296155994,2.5295940847086658,273049,0,0,,0
-0.11266788780177715,2.6111938938928163,273089,0,0,,0
-0.09743902094277399,2.692793703076967,273129,0,0,,0
-0.08382612529025543,2.7743935122611174,273169,0,0,,0
-0.0719998993263069,2.855993321445268,273209,0,0,,0
-0.06200910303883186,2.9375931306294185,273249,0,0,,0
-0.053774842323587764,3.019192939813569,273289,0,0,,0
-0.04709273098641629,3.1007927489977196,273329,0,0,,0
-0.04164296822344441,3.18239255818187,273369,0,0,,0
-0.037007900032092415,3.2639923673660207,273409,0,0,,0
-0.03269618252846953,3.3455921765501713,273449,0,0,,0
-0.02817225987455697,3.427191985734322,273489,0,0,,0
-0.02288953333268822,3.5087917949184724,273529,0,0,,0
-0.01632535098723168,3.590391604102623,273569,0,0,,0
-0.008015805090998309,3.6719914132867735,273609,0,0,,0
0.002411704842181575,3.753591222470924,273649,0,0,,0
0.015210097224850401,3.8351910316550746,273689,0,0,,0
0.03049017502668644,3.916790840839225,273729,0,0,,0
0.0482055832736529,3.9983906500233757,273769,0,0,,0
